userPostID,userReplyID,type,actor,time,condition,class
1,0,like,AimeeL,0:20,1,
1,0,like,VioletO,0:25,1,
1,0,like,HazelS,0:30,1,
1,0,like,ArthurM,0:35,1,
1,0,like,AudreyL,0:45,1,
1,0,like,CharlotteS,0:55,1,
1,0,like,GracieP,1:00,1,
1,0,like,CallieZ,1:10,1,
1,0,like,EmieY,1:20,1,
1,0,like,LizzyW,1:35,1,
1,0,like,LucasT,1:50,1,
1,0,like,JamesS,2:00,1,
1,0,like,MarinaT,2:20,1,
1,0,like,BrianD,2:35,1,
2,1,like,AimeeL,0:45,2,
3,2,like,GracieP,0:25,3,
3,2,like,AimeeL,0:35,3,
3,2,like,ArthurM,0:45,3,
3,2,like,AudreyL,0:55,3,
3,2,like,EmieY,1:05,3,
3,2,like,BrianD,1:15,3,
3,2,like,VioletO,1:25,3,
3,2,like,CallieZ,1:35,3,
3,2,like,CharlotteS,1:45,3,
3,2,like,HazelS,1:55,3,
3,2,like,JamesS,2:10,3,
3,2,like,LizzyW,2:30,3,
3,2,like,MarinaT,2:45,3,
4,3,like,MarinaT,0:45,4,
